"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\CAMPAIGN_REGISTRY_CONSOLIDATION_20260710_150636","Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS","CAMPAIGN_REGISTRY_CONSOLIDATION_20260710_150636","D","Microsoft.PowerShell.Core\FileSystem","True","d-----","CAMPAIGN_REGISTRY_CONSOLIDATION_20260710_150636",,,"CAMPAIGN_REGISTRY_CONSOLIDATION_20260710_150636","D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\CAMPAIGN_REGISTRY_CONSOLIDATION_20260710_150636","BACKUPS","True","D:\","","7/10/2026 3:06:37 PM","7/10/2026 7:06:37 PM","7/10/2026 3:06:36 PM","7/10/2026 7:06:36 PM","7/10/2026 3:06:37 PM","7/10/2026 7:06:37 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\BUILD052_20260716_211519","Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS","BUILD052_20260716_211519","D","Microsoft.PowerShell.Core\FileSystem","True","d-----","BUILD052_20260716_211519",,,"BUILD052_20260716_211519","D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\BUILD052_20260716_211519","BACKUPS","True","D:\","","7/16/2026 9:15:19 PM","7/17/2026 1:15:19 AM","7/16/2026 9:15:18 PM","7/17/2026 1:15:18 AM","7/16/2026 9:15:19 PM","7/17/2026 1:15:19 AM","Directory"
"Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\BUILD122A_20260717_153611","Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS","BUILD122A_20260717_153611","D","Microsoft.PowerShell.Core\FileSystem","True","d-----","BUILD122A_20260717_153611",,,"BUILD122A_20260717_153611","D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\BUILD122A_20260717_153611","BACKUPS","True","D:\","","7/17/2026 3:36:11 PM","7/17/2026 7:36:11 PM","7/17/2026 3:36:10 PM","7/17/2026 7:36:10 PM","7/17/2026 3:36:11 PM","7/17/2026 7:36:11 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\BUILD129_20260717_172019","Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS","BUILD129_20260717_172019","D","Microsoft.PowerShell.Core\FileSystem","True","d-----","BUILD129_20260717_172019",,,"BUILD129_20260717_172019","D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\BUILD129_20260717_172019","BACKUPS","True","D:\","","7/17/2026 5:20:22 PM","7/17/2026 9:20:22 PM","7/17/2026 5:20:22 PM","7/17/2026 9:20:22 PM","7/17/2026 5:20:22 PM","7/17/2026 9:20:22 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\task_queue_pre_BUILD130_20260717_212520.json","Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS","task_queue_pre_BUILD130_20260717_212520.json","D","Microsoft.PowerShell.Core\FileSystem","False","-a----","task_queue_pre_BUILD130_20260717_212520",,,"task_queue_pre_BUILD130_20260717_212520.json","D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\task_queue_pre_BUILD130_20260717_212520.json",,"True",,".json","7/17/2026 5:25:20 PM","7/17/2026 9:25:20 PM","7/17/2026 5:25:20 PM","7/17/2026 9:25:20 PM","7/17/2026 5:20:56 PM","7/17/2026 9:20:56 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\BUILD134_20260717_175922","Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS","BUILD134_20260717_175922","D","Microsoft.PowerShell.Core\FileSystem","True","d-----","BUILD134_20260717_175922",,,"BUILD134_20260717_175922","D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\BUILD134_20260717_175922","BACKUPS","True","D:\","","7/17/2026 5:59:23 PM","7/17/2026 9:59:23 PM","7/17/2026 5:59:22 PM","7/17/2026 9:59:22 PM","7/17/2026 5:59:23 PM","7/17/2026 9:59:23 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\BUILD136_20260717_180755","Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS","BUILD136_20260717_180755","D","Microsoft.PowerShell.Core\FileSystem","True","d-----","BUILD136_20260717_180755",,,"BUILD136_20260717_180755","D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\BUILD136_20260717_180755","BACKUPS","True","D:\","","7/17/2026 6:07:56 PM","7/17/2026 10:07:56 PM","7/17/2026 6:07:56 PM","7/17/2026 10:07:56 PM","7/17/2026 6:07:56 PM","7/17/2026 10:07:56 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\BUILD138_20260717_183447","Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS","BUILD138_20260717_183447","D","Microsoft.PowerShell.Core\FileSystem","True","d-----","BUILD138_20260717_183447",,,"BUILD138_20260717_183447","D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\BUILD138_20260717_183447","BACKUPS","True","D:\","","7/17/2026 6:34:47 PM","7/17/2026 10:34:47 PM","7/17/2026 6:34:46 PM","7/17/2026 10:34:46 PM","7/17/2026 6:34:47 PM","7/17/2026 10:34:47 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\BUILD137_20260720_174916","Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS","BUILD137_20260720_174916","D","Microsoft.PowerShell.Core\FileSystem","True","d-----","BUILD137_20260720_174916",,,"BUILD137_20260720_174916","D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\BUILD137_20260720_174916","BACKUPS","True","D:\","","7/20/2026 5:49:16 PM","7/20/2026 9:49:16 PM","7/20/2026 5:49:16 PM","7/20/2026 9:49:16 PM","7/20/2026 5:49:16 PM","7/20/2026 9:49:16 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\BUILD138_20260720_175525","Microsoft.PowerShell.Core\FileSystem::D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS","BUILD138_20260720_175525","D","Microsoft.PowerShell.Core\FileSystem","True","d-----","BUILD138_20260720_175525",,,"BUILD138_20260720_175525","D:\P2GC_Intelligence\MILES_ENTERPRISE\BACKUPS\BUILD138_20260720_175525","BACKUPS","True","D:\","","7/20/2026 5:55:25 PM","7/20/2026 9:55:25 PM","7/20/2026 5:55:24 PM","7/20/2026 9:55:24 PM","7/20/2026 5:55:25 PM","7/20/2026 9:55:25 PM","Directory"
