"Name","Length","LastWriteTime"
"BUILD_011.zip","2097","6/30/2026 9:24:46 PM"
"BUILD_012.zip","19567","6/30/2026 9:27:24 PM"
"BUILD_013.zip","12002","6/30/2026 9:32:54 PM"
"BUILD_014.zip","20721","6/30/2026 9:48:50 PM"
"BUILD_015.zip","10251","6/30/2026 9:56:44 PM"
"BUILD_036_CONTINUOUS_COO_LOOP.zip","19216","7/3/2026 9:36:32 PM"
"BUILD_036_MANIFEST.json","1447","7/4/2026 1:30:38 AM"
"BUILD_037_EXECUTIVE_DASHBOARD.zip","19766","7/3/2026 9:50:02 PM"
"BUILD_038_SELF_LEARNING_LAYER.zip","17554","7/3/2026 9:57:04 PM"
"BuildDuplicateReport.js","969","7/8/2026 6:44:04 PM"
"BuildEnterpriseRegistry.js","2123","7/10/2026 11:16:12 PM"
"BuildMilesDeveloperIndex.js","19357","7/11/2026 3:31:38 PM"
"BUILD036_SOURCE_BUNDLE.txt","121230","7/13/2026 3:05:40 PM"
"BUILD037_CURRENT_SOURCE.txt","85177","7/13/2026 4:15:34 PM"
"BUILD038_ENGINEERING_SOURCE.txt","43742","7/13/2026 5:17:14 PM"
"BUILD039_EXECUTIVE_LOOPS.txt","170382","7/13/2026 8:02:24 PM"
"BUILD040_STARTUP_TREE.txt","96572","7/13/2026 8:21:08 PM"
"BUILD041_EXECUTIVE_RUNTIME_EVIDENCE.zip","31434","7/13/2026 8:30:00 PM"
"BUILD052_RUNTIME_SOURCE.txt","111249","7/16/2026 9:07:42 PM"
"BUILD053_RUNTIME_SOURCE.txt","578699","7/16/2026 9:24:50 PM"
"BUILD053_DISCOVERY.csv","72385","7/16/2026 9:32:04 PM"
"BUILD130_StabilizeCOO.js","5669","7/17/2026 5:25:22 PM"
"BUILD130B_ACTIVE_RUNTIME_TRACE.txt","66477","7/17/2026 5:46:00 PM"
"BUILD131_WORKFLOW_TRACE.txt","6171","7/17/2026 5:46:46 PM"
"BUILD131A_QUEUE_INSERTION_TRACE.txt","18194","7/17/2026 5:47:32 PM"
"BUILD132_TASKMANAGER_TRACE.txt","4034","7/17/2026 5:48:30 PM"
"BUILD133_QUEUE_LOSS_ROOT_CAUSE.txt","309733","7/17/2026 5:52:56 PM"
"BUILD134_ReconcileWorkPackages.js","877","7/17/2026 6:00:02 PM"
"BUILD135_TASK_CREATION_PATH.txt","61100","7/17/2026 6:03:36 PM"
"BUILD135_ModuleProbe.js","1021","7/17/2026 6:03:36 PM"
"BUILD135_FunctionSourceProbe.js","942","7/17/2026 6:03:36 PM"
"BUILD136_TaskQueueSmokeTest.js","1337","7/17/2026 6:08:00 PM"
"BUILD136_RECOVERY_DRY_RUN.json","313814","7/17/2026 6:08:10 PM"
"BUILD136_RECOVERY_APPLY.json","443618","7/17/2026 6:08:18 PM"
"BUILD137_PRODUCTION_BOOT.log","238750","7/17/2026 6:34:22 PM"
"BUILD138_PRODUCTION_BOOT.log","464438","7/17/2026 6:36:14 PM"
"BUILD053_CEO_INTENT_ENGINE.zip","11881","7/18/2026 2:51:36 PM"
"BUILD053A_CURRENT_SOURCE.txt","18459","7/18/2026 3:12:10 PM"
"BUILD126_MissionPlanning_Current.txt","11697","7/19/2026 1:09:40 PM"
"BUILD140_SOURCE_BUNDLE.txt","245320","7/20/2026 6:17:40 PM"
"BUILD140_EXECUTION_TRACE.txt","49730","7/20/2026 6:18:36 PM"
"BUILD140_RUNTIME_TRACE_20260720_182019.txt","91665611","7/20/2026 6:24:12 PM"
"BUILD140_QUEUE_STATE_TRACE_20260720_182853.txt","323502","7/20/2026 6:29:00 PM"
"BUILD140_LIFECYCLE_SOURCE_TRACE_20260720_183219.txt","252758","7/20/2026 6:32:32 PM"
"BUILD140_TASKQUEUE_UPDATE_PROBE_20260720_183502.js","4833","7/20/2026 6:35:04 PM"
"BUILD140_TASKQUEUE_UPDATE_PROBE_20260720_183502.txt","204632","7/20/2026 6:38:26 PM"
"BUILD141_INSTALL_STALE_TASK_RECOVERY_20260720_184150.js","7588","7/20/2026 6:41:52 PM"
"BUILD141_STALE_TASK_RECOVERY_RESULT_20260720_184150.txt","224422","7/20/2026 6:42:20 PM"
"BUILD142_SEGMENT_INVENTORY_TRACE_20260720_184557.txt","21396459","7/20/2026 7:05:34 PM"
"BUILD130_RevenueMissionIntake.js","18067","7/22/2026 12:13:22 PM"
"BUILD131_ProviderRegistry_Package.zip","4997","7/22/2026 12:27:04 PM"
"BUILD131_ProviderRegistry_Package_v2.zip","5457","7/22/2026 12:31:08 PM"
"BUILD132_REAL.zip","5848","7/22/2026 1:16:32 PM"
"BUILD132_FIXED.zip","4862","7/22/2026 1:20:58 PM"
"BUILD132_VERIFIED.zip","6726","7/22/2026 1:24:06 PM"
