"FullName","Length","LastWriteTime"
"D:\P2GC_Intelligence\MILES_OS\governance",,"6/20/2026 4:22:49 PM"
"D:\P2GC_Intelligence\MILES_OS\inventory",,"6/20/2026 4:22:49 PM"
"D:\P2GC_Intelligence\MILES_OS\logs",,"6/20/2026 4:22:49 PM"
"D:\P2GC_Intelligence\MILES_OS\reports",,"6/20/2026 4:22:50 PM"
"D:\P2GC_Intelligence\MILES_OS\tasks",,"6/20/2026 4:22:50 PM"
"D:\P2GC_Intelligence\MILES_OS\outbound",,"6/20/2026 4:22:50 PM"
"D:\P2GC_Intelligence\MILES_OS\orion",,"6/20/2026 4:22:50 PM"
"D:\P2GC_Intelligence\MILES_OS\status",,"6/20/2026 4:22:50 PM"
"D:\P2GC_Intelligence\MILES_OS\validation",,"6/20/2026 4:32:23 PM"
"D:\P2GC_Intelligence\MILES_OS\masters",,"6/20/2026 5:47:14 PM"
"D:\P2GC_Intelligence\MILES_OS\output",,"6/20/2026 5:59:49 PM"
"D:\P2GC_Intelligence\MILES_OS\WEBSITE_OPS",,"6/20/2026 6:54:33 PM"
"D:\P2GC_Intelligence\MILES_OS\CONFIG",,"6/20/2026 6:56:30 PM"
"D:\P2GC_Intelligence\MILES_OS\OPERATOR",,"6/20/2026 7:06:52 PM"
"D:\P2GC_Intelligence\MILES_OS\CONNECTORS",,"6/28/2026 3:18:46 PM"
"D:\P2GC_Intelligence\MILES_OS\MILES_OS_v1",,"6/28/2026 3:53:18 PM"
"D:\P2GC_Intelligence\MILES_OS\miles_instantly_connector",,"6/28/2026 6:12:49 PM"
"D:\P2GC_Intelligence\MILES_OS\Drop in",,"6/28/2026 8:09:32 PM"
"D:\P2GC_Intelligence\MILES_OS\node_modules",,"6/28/2026 8:15:02 PM"
"D:\P2GC_Intelligence\MILES_OS\miles_core_framework_dropin",,"6/28/2026 8:44:10 PM"
"D:\P2GC_Intelligence\MILES_OS\CORE",,"6/28/2026 8:45:43 PM"
"D:\P2GC_Intelligence\MILES_OS\DATA",,"6/28/2026 8:45:43 PM"
"D:\P2GC_Intelligence\MILES_OS\MILES_Platform_v0.3.0_Local_Operator",,"6/29/2026 2:14:56 PM"
"D:\P2GC_Intelligence\MILES_OS\releases",,"6/29/2026 2:28:00 PM"
"D:\P2GC_Intelligence\MILES_OS\MILES_Automation_FastTrack_v0.4.0",,"6/29/2026 2:29:22 PM"
"D:\P2GC_Intelligence\MILES_OS\MILES_FIX_ALL_PATCH",,"6/29/2026 2:34:19 PM"
"D:\P2GC_Intelligence\MILES_OS\AI",,"6/29/2026 2:43:03 PM"
"D:\P2GC_Intelligence\MILES_OS\API",,"6/29/2026 2:43:03 PM"
"D:\P2GC_Intelligence\MILES_OS\AUTOMATIONS",,"6/29/2026 2:43:04 PM"
"D:\P2GC_Intelligence\MILES_OS\DATABASE",,"6/29/2026 2:43:04 PM"
"D:\P2GC_Intelligence\MILES_OS\DOCS",,"6/29/2026 2:43:04 PM"
"D:\P2GC_Intelligence\MILES_OS\SERVICES",,"6/29/2026 2:43:04 PM"
"D:\P2GC_Intelligence\MILES_OS\WEB",,"6/29/2026 2:43:04 PM"
"D:\P2GC_Intelligence\MILES_OS\SEGMENT_FILE_DISCOVERY.csv","29422","6/20/2026 5:48:04 PM"
"D:\P2GC_Intelligence\MILES_OS\START_MILES.ps1","53","6/20/2026 6:09:28 PM"
"D:\P2GC_Intelligence\MILES_OS\MILES_BOOTSTRAP.ps1","898","6/20/2026 6:13:02 PM"
"D:\P2GC_Intelligence\MILES_OS\MILES_RUNTIME_LOOP.ps1","1597","6/20/2026 6:16:12 PM"
"D:\P2GC_Intelligence\MILES_OS\MILES_TASK_QUEUE.csv","66","6/20/2026 6:57:00 PM"
"D:\P2GC_Intelligence\MILES_OS\MILES_PRIORITY_RULES.csv","122","6/20/2026 6:57:48 PM"
"D:\P2GC_Intelligence\MILES_OS\MILES_OS_v1.zip","17537","6/28/2026 3:52:46 PM"
"D:\P2GC_Intelligence\MILES_OS\miles_instantly_connector.zip","7658","6/28/2026 6:12:20 PM"
"D:\P2GC_Intelligence\MILES_OS\.gitignore","302","6/29/2026 1:44:22 PM"
"D:\P2GC_Intelligence\MILES_OS\miles_core_framework_dropin.zip","4560","6/28/2026 8:43:20 PM"
"D:\P2GC_Intelligence\MILES_OS\miles_connector_health.js","623","6/28/2026 9:31:10 PM"
"D:\P2GC_Intelligence\MILES_OS\miles_google_accounts_health.js","939","6/29/2026 12:48:18 AM"
"D:\P2GC_Intelligence\MILES_OS\executive_dashboard.js","3114","6/29/2026 1:58:10 PM"
"D:\P2GC_Intelligence\MILES_OS\MILES_Platform_v0.3.0_Local_Operator.zip","13161","6/29/2026 2:14:40 PM"
"D:\P2GC_Intelligence\MILES_OS\repository_tree.txt","1144026","6/29/2026 3:11:58 PM"
"D:\P2GC_Intelligence\MILES_OS\MILES_Automation_FastTrack_v0.4.0.zip","12605","6/29/2026 2:29:02 PM"
"D:\P2GC_Intelligence\MILES_OS\MILES_FIX_ALL_PATCH.zip","3456","6/29/2026 2:34:02 PM"
"D:\P2GC_Intelligence\MILES_OS\.env","0","6/28/2026 6:53:06 PM"
"D:\P2GC_Intelligence\MILES_OS\INSTALL_MILES_OS.ps1","420","6/29/2026 2:43:06 PM"
"D:\P2GC_Intelligence\MILES_OS\README.md","1062","6/29/2026 2:43:06 PM"
"D:\P2GC_Intelligence\MILES_OS\package.json","131","6/29/2026 2:46:06 PM"
"D:\P2GC_Intelligence\MILES_OS\package-lock.json","52179","6/29/2026 2:46:06 PM"
"D:\P2GC_Intelligence\MILES_OS\MILES_ASSET_REGISTRY.csv","1524","6/29/2026 2:46:06 PM"
"D:\P2GC_Intelligence\MILES_OS\MILES_DASHBOARD.csv","86","6/29/2026 2:46:06 PM"
"D:\P2GC_Intelligence\MILES_OS\MILES_EXECUTION_LOG.csv","333","6/29/2026 2:46:06 PM"
"D:\P2GC_Intelligence\MILES_OS\MILES_SYSTEM_STATUS.csv","130","6/29/2026 2:46:06 PM"
"D:\P2GC_Intelligence\MILES_OS\MILES_WORK_REGISTRY.csv","900","6/29/2026 2:46:06 PM"
"D:\P2GC_Intelligence\MILES_OS\repo_files.txt","214460","6/29/2026 2:49:48 PM"
"D:\P2GC_Intelligence\MILES_OS\repo_status.txt","1400","6/29/2026 2:49:50 PM"
"D:\P2GC_Intelligence\MILES_OS\REPOSITORY_FILE_INVENTORY.txt","214460","6/29/2026 3:11:50 PM"
"D:\P2GC_Intelligence\MILES_OS\REPOSITORY_DIRECTORY_INVENTORY.csv","105","6/29/2026 3:12:07 PM"
"D:\P2GC_Intelligence\MILES_OS\governance\MILES_AUTHORITY_MATRIX.csv","1806","6/29/2026 2:43:06 PM"
"D:\P2GC_Intelligence\MILES_OS\governance\MILES_MISSION.txt","735","6/29/2026 2:43:06 PM"
"D:\P2GC_Intelligence\MILES_OS\inventory\systems_inventory.csv","667","6/20/2026 4:22:52 PM"
"D:\P2GC_Intelligence\MILES_OS\inventory\segment_inventory_master.csv","964","6/20/2026 4:22:52 PM"
"D:\P2GC_Intelligence\MILES_OS\inventory\segment_discovery.csv","0","6/20/2026 4:23:44 PM"
"D:\P2GC_Intelligence\MILES_OS\inventory\data_sources.csv","553","6/20/2026 4:29:12 PM"
"D:\P2GC_Intelligence\MILES_OS\inventory\segment_priority_queue.csv","529","6/20/2026 4:30:40 PM"
"D:\P2GC_Intelligence\MILES_OS\inventory\segment_counts.csv","1777","6/20/2026 4:32:56 PM"
"D:\P2GC_Intelligence\MILES_OS\logs\execution_log.csv","120","6/20/2026 4:22:52 PM"
"D:\P2GC_Intelligence\MILES_OS\logs\miles.log","1935","6/28/2026 9:43:58 PM"
"D:\P2GC_Intelligence\MILES_OS\reports\pipeline_metrics.csv","130","6/20/2026 4:45:40 PM"
"D:\P2GC_Intelligence\MILES_OS\reports\active_pipeline.csv","109","6/20/2026 4:46:06 PM"
"D:\P2GC_Intelligence\MILES_OS\reports\no_show_recovery.csv","83","6/20/2026 4:46:18 PM"
"D:\P2GC_Intelligence\MILES_OS\reports\campaign_roi.csv","61","6/20/2026 4:46:28 PM"
"D:\P2GC_Intelligence\MILES_OS\tasks\master_task_queue.csv","865","6/20/2026 4:22:52 PM"
"D:\P2GC_Intelligence\MILES_OS\outbound\outbound_accounts.csv","665","6/20/2026 4:22:52 PM"
"D:\P2GC_Intelligence\MILES_OS\outbound\campaign_inventory.csv","115","6/20/2026 4:36:02 PM"
"D:\P2GC_Intelligence\MILES_OS\status\daily_status.md","820","6/20/2026 4:22:52 PM"
"D:\P2GC_Intelligence\MILES_OS\masters\CLIENT_MASTER.csv","7228","6/20/2026 5:47:16 PM"
"D:\P2GC_Intelligence\MILES_OS\masters\SYSTEM_REGISTRY.csv","841","6/20/2026 5:47:16 PM"
"D:\P2GC_Intelligence\MILES_OS\masters\TASK_MASTER.csv","819","6/20/2026 5:47:16 PM"
"D:\P2GC_Intelligence\MILES_OS\masters\ASSET_MASTER.csv","802","6/20/2026 5:47:16 PM"
"D:\P2GC_Intelligence\MILES_OS\masters\MILES_CONTROL_CENTER.csv","489","6/20/2026 5:47:16 PM"
"D:\P2GC_Intelligence\MILES_OS\masters\SEGMENT_INVENTORY.csv","44811","6/20/2026 5:52:22 PM"
"D:\P2GC_Intelligence\MILES_OS\masters\CAMPAIGN_MASTER.csv","517","6/20/2026 5:56:08 PM"
"D:\P2GC_Intelligence\MILES_OS\masters\DOMAIN_MASTER.csv","455","6/20/2026 5:56:48 PM"
"D:\P2GC_Intelligence\MILES_OS\masters\CAMPAIGN_ROUTING_MASTER.csv","327","6/20/2026 5:57:28 PM"
"D:\P2GC_Intelligence\MILES_OS\masters\EXECUTION_ENGINE_MASTER.csv","452","6/20/2026 5:58:46 PM"
"D:\P2GC_Intelligence\MILES_OS\masters\STATE_ENGINE_MASTER.csv","664","6/20/2026 6:29:34 PM"
"D:\P2GC_Intelligence\MILES_OS\masters\SCHEMA_REGISTRY.json","419","6/20/2026 6:35:06 PM"
"D:\P2GC_Intelligence\MILES_OS\output\logs",,"6/20/2026 6:04:40 PM"
"D:\P2GC_Intelligence\MILES_OS\output\READY_.csv","5764","6/20/2026 6:04:42 PM"
"D:\P2GC_Intelligence\MILES_OS\output\MILES_ACTION_RUN_REPORT.csv","471","6/20/2026 6:04:42 PM"
"D:\P2GC_Intelligence\MILES_OS\output\RUN_.csv","5764","6/20/2026 6:17:42 PM"
"D:\P2GC_Intelligence\MILES_OS\output\STATE_ENGINE_SNAPSHOT.csv","531","6/20/2026 6:21:34 PM"
"D:\P2GC_Intelligence\MILES_OS\output\logs\execution_log.csv","0","6/20/2026 6:04:41 PM"
"D:\P2GC_Intelligence\MILES_OS\WEBSITE_OPS\WEBSITE_SCREENSHOTS",,"6/20/2026 6:54:35 PM"
"D:\P2GC_Intelligence\MILES_OS\WEBSITE_OPS\WEBSITE_MASTER.csv","329","6/20/2026 6:54:36 PM"
"D:\P2GC_Intelligence\MILES_OS\WEBSITE_OPS\WEBSITE_APPROVAL_QUEUE.csv","335","6/20/2026 6:54:38 PM"
"D:\P2GC_Intelligence\MILES_OS\WEBSITE_OPS\WEBSITE_CHANGE_LOG.csv","67","6/20/2026 6:54:38 PM"
"D:\P2GC_Intelligence\MILES_OS\WEBSITE_OPS\WEBSITE_CHANGE_QUEUE.csv","778","6/29/2026 2:46:14 PM"
"D:\P2GC_Intelligence\MILES_OS\WEBSITE_OPS\WEBSITE_SCREENSHOTS\b12_observer_2026-06-28T19-33-58-874Z.png","20361","6/28/2026 3:34:02 PM"
"D:\P2GC_Intelligence\MILES_OS\CONFIG\Credentials",,"6/28/2026 6:50:28 PM"
"D:\P2GC_Intelligence\MILES_OS\CONFIG\MILES_AUTHORITY_MATRIX.csv","0","6/20/2026 7:02:26 PM"
"D:\P2GC_Intelligence\MILES_OS\CONFIG\MILES_MISSION.txt","0","6/20/2026 7:02:39 PM"
"D:\P2GC_Intelligence\MILES_OS\CONFIG\system_config.json","278","6/29/2026 2:43:06 PM"
"D:\P2GC_Intelligence\MILES_OS\CONFIG\asset_rules.json","359","6/29/2026 2:46:06 PM"
"D:\P2GC_Intelligence\MILES_OS\CONFIG\Credentials\google_accounts",,"6/28/2026 8:51:25 PM"
"D:\P2GC_Intelligence\MILES_OS\CONFIG\Credentials\google_oauth_client.json","399","6/28/2026 6:45:10 PM"
"D:\P2GC_Intelligence\MILES_OS\CONFIG\Credentials\google_token.json","306","6/28/2026 8:34:18 PM"
"D:\P2GC_Intelligence\MILES_OS\OPERATOR\OUTPUTS",,"6/20/2026 7:06:52 PM"
"D:\P2GC_Intelligence\MILES_OS\OPERATOR\MILES_OPERATOR.ps1","3032","6/20/2026 7:06:54 PM"
