"Segment_Name","Lead_Count"
"CANONICAL_OPERATIONAL_REGISTRY_USED_FOR_MISSING_SEGMENTS","19503"
"TRYING_NOT_WINNING_CANDIDATES","16732"
"TRYING_NOT_WINNING_CANDIDATES_EMAIL_READY","16663"
"EXPIRING_GSA_24_MONTHS","7173"
"EXPIRING_GSA_24_MONTHS_EMAIL_READY","7171"
"EXPIRING_GSA_12_MONTHS","6225"
"EXPIRING_GSA_12_MONTHS_EMAIL_READY","6223"
"SBS_FILTERED_TARGETS_OK_ONLY_MILLIONVERIFIER","2792"
"SBS_VALIDATED_EMAIL_TARGETS_EMAIL_READY","2585"
"SBS_VALIDATED_EMAIL_TARGETS","2585"
"SETASIDE_VOSB","2268"
"SETASIDE_VOSB_EMAIL_READY","2255"
"SETASIDE_SDVOSB","1932"
"SETASIDE_SDVOSB_EMAIL_READY","1919"
"OPEN_MARKET_WINNERS_SAM_NO_VEHICLE","1066"
"SETASIDE_WOSB_EMAIL_READY","702"
"SETASIDE_WOSB","702"
"VA_LOW_SALES","662"
"SETASIDE_EDWOSB_EMAIL_READY","190"
"SETASIDE_EDWOSB","190"
"SETASIDE_HUBZONE","109"
"SETASIDE_HUBZONE_EMAIL_READY","109"
"VA_LOW_SALES_OK_ONLY_MILLIONVERIFIER","78"
"EXPIRING_VA_24_MONTHS_EMAIL_READY","70"
"EXPIRING_VA_24_MONTHS","70"
"SETASIDE_8A","57"
"SETASIDE_8A_EMAIL_READY","57"
"EXPIRING_VA_12_MONTHS","50"
"EXPIRING_VA_12_MONTHS_EMAIL_READY","50"
"MISSING_SEGMENTS_BUILD_SUMMARY","17"
"SEGMENT_SUMMARY","8"
"SEGMENTS_NOT_BUILDABLE_FROM_CURRENT_DATA_SOURCE_PULLS_NEEDED","4"
"MASTER_DEDUPED_ALL_SEGMENTS","0"
"VA_LOW_SALES_1M_4_999M_EMAIL_READY","0"
"SAM_NO_SALES","0"
"GSA_NO_SALES","0"
"GSA_ABOVE_10M","0"
"VA_NO_SALES","0"
"GSA_GROWTH_XL_5_9_99M","0"
"GSA_GROWTH_3_5M","0"
"SAM_LOW_SALES_1M_4_999M","0"
"OPEN_MARKET_WINNERS_SAM_NO_VEHICLE_EMAIL_READY","0"
"SETASIDE_SDB_EMAIL_READY","0"
"SAM_LOW_SALES_1M_4_999M_EMAIL_READY","0"
"SETASIDE_SDB","0"
"VA_ABOVE_10M","0"
"VA_LOW_SALES_1M_4_999M","0"
"VA_GROWTH_XL_5_9_99M","0"
"GSA_LOW_SALES_1M_4_999M_EMAIL_READY","0"
"GSA_LOW_SALES_1M_4_999M","0"
