Segment_Name,Source_File,Lead_Count,Verified_Email_Count,Campaign_Status,Needs_Enrichment,Needs_Upload,Needs_Campaign,Assigned_Campaign,Priority,Last_Reviewed
GSA_NO_SALES,GSA_NO_SALES.csv,22775,0,Not Started,Y,Y,Y,,1,2026-06-20
GSA_ABOVE_10M,GSA_ABOVE_10M.csv,1119,0,Not Started,Y,Y,Y,,2,2026-06-20
GSA_GROWTH_XL_5_9_99M,GSA_GROWTH_XL_5_9_99M.csv,100,0,Not Started,Y,Y,Y,,2,2026-06-20
GSA_GROWTH_3_5M,GSA_GROWTH_3_5M.csv,1,0,Not Started,Y,Y,Y,,3,2026-06-20
SBS_VALIDATED_EMAIL_TARGETS,SBS_VALIDATED_EMAIL_TARGETS.csv,2585,2585,Ready,N,Y,Y,,1,2026-06-20
SBS_FILTERED_TARGETS_OK_ONLY_MILLIONVERIFIER,SBS_FILTERED_TARGETS_OK_ONLY_MILLIONVERIFIER.csv,2792,2792,Ready,N,Y,Y,,1,2026-06-20
EXPIRING_GSA_12M,EXPIRING_GSA_12M.csv,0,0,Unknown,Y,Y,Y,,1,2026-06-20
EXPIRING_GSA_24M,EXPIRING_GSA_24M.csv,0,0,Unknown,Y,Y,Y,,2,2026-06-20
EXPIRING_VA_12M,EXPIRING_VA_12M.csv,0,0,Unknown,Y,Y,Y,,1,2026-06-20
EXPIRING_VA_24M,EXPIRING_VA_24M.csv,0,0,Unknown,Y,Y,Y,,2,2026-06-20
