Segment_Name,Priority,Email_Ready,Campaign_Assigned,Status
SBS_VALIDATED_EMAIL_TARGETS,1,Y,,Ready
SBS_FILTERED_TARGETS_OK_ONLY_MILLIONVERIFIER,1,Y,,Ready
TRYING_NOT_WINNING_CANDIDATES,1,Y,,Ready
EXPIRING_GSA_12_MONTHS,1,Y,,Ready
EXPIRING_GSA_24_MONTHS,2,Y,,Ready
SETASIDE_8A,2,Y,,Ready
SETASIDE_HUBZONE,2,Y,,Ready
SETASIDE_WOSB,2,Y,,Ready
SETASIDE_EDWOSB,2,Y,,Ready
SETASIDE_SDVOSB,2,Y,,Ready
SETASIDE_VOSB,2,Y,,Ready
SAM_NO_SALES,3,N,,Needs Verification
GSA_NO_SALES,3,N,,Needs Verification
VA_NO_SALES,3,N,,Needs Verification
