"client_id","client_name","status","phase","owner","primary_contact","email","phone","start_date","monthly_value","lifetime_value","next_action","next_action_date","risk_level","last_activity","source_folder"
"CLIENT-ASCENSIONPROFESSIONALS","Ascension professionals","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Ascension professionals"
"CLIENT-CANILLC","CANI LLC","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\CANI LLC"
"CLIENT-CLOUDBRIDGEUSA","Cloudbridge USA","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Cloudbridge USA"
"CLIENT-CYBERGUARDIANS","Cyber Guardians","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Cyber Guardians"
"CLIENT-DELUNEIT","Delune IT","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Delune IT"
"CLIENT-DIGITALCONSULTINGSERVICES","Digital Consulting Services","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Digital Consulting Services"
"CLIENT-DREAMERSINC","Dreamers Inc","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Dreamers Inc"
"CLIENT-EDCMOVERS","EDC Movers","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\EDC Movers"
"CLIENT-FRESHSTARTCOLO","Fresh Start Colo","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Fresh Start Colo"
"CLIENT-GOMEDIALLC","Go Media LLC","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\Go Media LLC"
"CLIENT-IMRI","IMRI","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\IMRI"
"CLIENT-INNSOLUTIONS","INN Solutions","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\INN Solutions"
"CLIENT-INTERNATIONALGRAPHICSSERVICES","International Graphics Services","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\International Graphics Services"
"CLIENT-ISEACORP","ISEA Corp","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\ISEA Corp"
"CLIENT-ITZMEDIA","ITZ Media","Needs Review","","Kevin/Miles","","","","","","","Review client file","","Unknown","4/10/2026 10:53:19 AM","C:\Users\lifes\OneDrive\Documents\Notes\CRM\Clients\ITZ Media"
