"segment_name","file_location","lead_count","verified_emails","campaign_status","assigned_domain","assigned_campaign"
"P2GC_GSA_Schedule_Segmented_Leads_WITH_CONTACTS","D:\P2GC_Intelligence\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\P2GC_GSA_Schedule_Segmented_Leads_WITH_CONTACTS.xlsx","","","Unknown","",""
"p2gc_evan_segmentation_upgrade","D:\P2GC_Intelligence\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\p2gc_evan_segmentation_upgrade.py","","","Unknown","",""
"P2GC_EVAN_SEGMENTED_MASTER_V2","D:\P2GC_Intelligence\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\P2GC_EVAN_SEGMENTED_MASTER_V2.csv","360374","","Unknown","",""
"p2gc_sam_segment_loader","D:\P2GC_Intelligence\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\p2gc_sam_segment_loader.py","","","Unknown","",""
"P2GC_MASTER_WITH_SEGMENTS","D:\P2GC_Intelligence\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\P2GC_MASTER_WITH_SEGMENTS.csv","361873","","Unknown","",""
"P2GC_SEGMENT_MANUFACTURING_EQUIPMENT","D:\P2GC_Intelligence\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\SEGMENTS\P2GC_SEGMENT_MANUFACTURING_EQUIPMENT.csv","45396","","Unknown","",""
"P2GC_SEGMENT_OTHER_ELIGIBLE","D:\P2GC_Intelligence\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\SEGMENTS\P2GC_SEGMENT_OTHER_ELIGIBLE.csv","46215","","Unknown","",""
"P2GC_SEGMENT_IT_SERVICES","D:\P2GC_Intelligence\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\SEGMENTS\P2GC_SEGMENT_IT_SERVICES.csv","39616","","Unknown","",""
"P2GC_SEGMENT_ENGINEERING","D:\P2GC_Intelligence\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\SEGMENTS\P2GC_SEGMENT_ENGINEERING.csv","25471","","Unknown","",""
"P2GC_SEGMENT_TRAINING_EDUCATION_SERVICES","D:\P2GC_Intelligence\SAM_Registry\SAM_PUBLIC_MONTHLY_V2_20260301\OUT_FILTERED\SEGMENTS\P2GC_SEGMENT_TRAINING_EDUCATION_SERVICES.csv","20466","","Unknown","",""
