"Extension","Count","TotalBytes"
".json","10408","596452975"
"[none]","3054","178888934"
".js","687","2483546"
".md","140","123665"
".ps1","125","251036"
".py","76","75407"
".csv","75","25118472"
".ts","53","42771"
".txt","35","3761137"
".old","27","4061"
".jsonl","22","122012303"
".html","11","25280627"
".db","7","3399680"
".gitignore","4","605"
".css","3","5127"
".ldb","3","1928818"
".pma","3","9437184"
".bak_20260707_121436","2","22264"
".db-journal","2","0"
".tmp_6016_1783541207529","1","30462727"
".sql","1","333"
".tmp_21228_1783704922107","1","30589459"
".keep","1","0"
".jsx","1","3845"
".tmp_19768_1783708966348","1","30649623"
".log","1","12750"
".bak","1","4230"
".dat","1","40"
".backup_20260709","1","8238"
".fix_first_blocker_backup_20260708_135122","1","36449"
".bak_20260709_231150","1","11231"
".baf","1","20"
".journal","1","0"
".baj","1","4"
".bf","1","360"
".pb","1","84"
