"RelativePath","SizeBytes","ModifiedUtc","Category"
"executive_dashboard.js","3114","2026-06-29T17:58:10.0000000Z","Observability"
"INSTALL_MILES_PLANNER_SUBSYSTEM.ps1","7876","2026-06-30T00:32:36.0000000Z","Planner"
"miles_connector_health.js","623","2026-06-29T01:31:10.0000000Z","Connector"
"MILES_DASHBOARD.csv","86","2026-06-29T18:46:06.0000000Z","Observability"
"miles_google_accounts_health.js","939","2026-06-29T04:48:18.0000000Z","Observability"
"MILES_RUNTIME_LOOP.ps1","1597","2026-06-20T22:16:12.0000000Z","Runtime"
"RunMarketingCOO.js","561","2026-07-08T21:00:06.0000000Z","BusinessDomain"
"RUN_INSTANTLY_BRIDGE_ACTION.ps1","139","2026-07-04T06:27:12.0000000Z","BusinessDomain"
"RUN_INSTANTLY_HEALTH.ps1","132","2026-07-04T06:27:12.0000000Z","Observability"
"RUN_INSTANTLY_LIVE.ps1","130","2026-07-04T06:27:12.0000000Z","BusinessDomain"
"RUN_SELF_LEARNING.ps1","356","2026-07-04T05:55:58.0000000Z","Intelligence"
"StartSupervisor.js","165","2026-06-30T15:56:26.0000000Z","BusinessDomain"
"TestBrowserWorker.js","648","2026-06-30T17:49:58.0000000Z","Worker"
"test_executive_brief.js","438","2026-07-01T01:09:54.0000000Z","BusinessDomain"
"test_executive_intelligence.js","353","2026-07-01T01:05:46.0000000Z","BusinessDomain"
"test_marketing_provider.js","238","2026-06-30T23:22:48.0000000Z","BusinessDomain"
"test_orion_provider.js","226","2026-07-01T01:02:16.0000000Z","BusinessDomain"
"VERIFY_SELF_LEARNING.ps1","1509","2026-07-04T05:55:58.0000000Z","Intelligence"
"RunMarketingEnterprise.js","531","2026-07-08T22:49:48.0000000Z","BusinessDomain"
"RunMarketingAssignment.js","445","2026-07-08T23:31:48.0000000Z","BusinessDomain"
"RunMarketingIntelligence.js","459","2026-07-08T23:34:14.0000000Z","BusinessDomain"
"RunMarketingCapacityPlan.js","439","2026-07-08T23:38:32.0000000Z","BusinessDomain"
"PATCH_fix_decision_engine.js","1892","2026-07-09T00:49:36.0000000Z","Governance"
"PATCH_fix_decision_engine_safe.js","1714","2026-07-09T00:51:46.0000000Z","Governance"
"InstantlyCOOWorker_dump.txt","58100","2026-07-10T03:22:38.0000000Z","Worker"
"CORE\CommandQueue.js","3989","2026-07-03T21:39:26.0000000Z","BusinessDomain"
"CORE\ConnectorManager.js","1096","2026-06-29T04:42:48.0000000Z","Connector"
"CORE\HealthDashboard.js","905","2026-06-29T04:42:48.0000000Z","Observability"
"CORE\RuntimeController.js","6023","2026-06-30T16:35:36.0000000Z","Runtime"
"CORE\Supervisor.js","5257","2026-06-30T16:23:50.0000000Z","BusinessDomain"
"CORE\TestRuntimeController.js","725","2026-06-30T16:39:30.0000000Z","Runtime"
"CORE\BROWSER\BrowserWorker.js","2974","2026-06-30T17:49:24.0000000Z","Worker"
"CORE\Connectors\Ingestion\crmIngestor.js","393","2026-07-03T01:36:32.0000000Z","BusinessDomain"
"CORE\Connectors\Ingestion\instantlyIngestor.js","419","2026-07-03T01:36:04.0000000Z","BusinessDomain"
"CORE\GATEWAY\CommandGateway.js","5594","2026-06-30T16:33:38.0000000Z","BusinessDomain"
"CORE\Kernel\HealthMonitor.js","913","2026-06-29T18:43:06.0000000Z","Observability"
"CORE\Runtime\MilesRuntime.js","8404","2026-07-01T19:02:52.0000000Z","Runtime"
"CORE\STATE\ExecutiveState.js","2753","2026-06-30T16:24:26.0000000Z","BusinessDomain"
"CORE\CANONICAL\Runtime.js","1270","2026-07-08T22:47:00.0000000Z","Runtime"
"SERVICES\ATLASRuntimeInspector.js","7362","2026-07-05T03:32:30.0000000Z","Runtime"
"SERVICES\CommandIntentPlannerService.js","11240","2026-07-10T03:11:52.0000000Z","Planner"
"SERVICES\ConnectorManager.js","0","2026-06-29T18:43:06.0000000Z","Connector"
"SERVICES\ConnectorRuntimeManager.js","6381","2026-07-06T01:21:48.0000000Z","Connector"
"SERVICES\COOExecutiveLoopService.js","4746","2026-07-06T18:36:12.0000000Z","BusinessDomain"
"SERVICES\DashboardDataService.js","18523","2026-07-09T19:25:18.0000000Z","Observability"
"SERVICES\DashboardServerService.js","2185","2026-07-04T05:48:24.0000000Z","Observability"
"SERVICES\DashboardService.js","2470","2026-06-29T21:57:58.0000000Z","Observability"
"SERVICES\DecisionEngine.js","10589","2026-07-02T17:19:50.0000000Z","Governance"
"SERVICES\DecisionLearningService.js","1901","2026-07-04T05:55:46.0000000Z","Governance"
"SERVICES\EngineeringPlannerService.js","7677","2026-07-02T18:30:32.0000000Z","Planner"
"SERVICES\ExecutionPlannerService.js","4458","2026-07-04T06:49:04.0000000Z","Planner"
"SERVICES\ExecutionSchedulerService.js","505","2026-07-04T06:49:04.0000000Z","Scheduler"
"SERVICES\ExecutiveBrainService.js","7536","2026-07-04T04:58:22.0000000Z","BusinessDomain"
"SERVICES\ExecutiveBriefService.js","8390","2026-07-01T01:08:50.0000000Z","BusinessDomain"
"SERVICES\ExecutiveDashboardService.js","12580","2026-07-04T05:48:24.0000000Z","Observability"
"SERVICES\ExecutiveDispatcher.js","4233","2026-07-03T21:53:02.0000000Z","BusinessDomain"
"SERVICES\ExecutiveIntelligenceService.js","5029","2026-07-10T00:43:24.0000000Z","BusinessDomain"
"SERVICES\ExecutiveResponseService.js","5822","2026-07-07T00:10:46.0000000Z","BusinessDomain"
"SERVICES\ExecutiveStateService.js","1079","2026-06-30T00:22:48.0000000Z","BusinessDomain"
"SERVICES\FailureLearningService.js","2008","2026-07-04T05:55:46.0000000Z","Intelligence"
"SERVICES\InstantlyActionBridgeService.js","3465","2026-07-04T06:26:50.0000000Z","BusinessDomain"
"SERVICES\InstantlyApiClient.js","3563","2026-07-04T06:26:50.0000000Z","BusinessDomain"
"SERVICES\InstantlyControlledWriteService.js","6675","2026-07-04T06:44:14.0000000Z","BusinessDomain"
"SERVICES\InstantlyLiveIntegrationService.js","2655","2026-07-04T06:26:50.0000000Z","BusinessDomain"
"SERVICES\InstantlyLiveProviderController.js","7689","2026-07-04T06:26:50.0000000Z","BusinessDomain"
"SERVICES\InstantlyProviderCompatibilityService.js","5157","2026-07-04T06:58:22.0000000Z","BusinessDomain"
"SERVICES\InstantlyProviderController.js","731","2026-07-04T06:18:28.0000000Z","BusinessDomain"
"SERVICES\LearningDataService.js","2980","2026-07-09T22:00:10.0000000Z","Intelligence"
"SERVICES\LoopSchedulerService.js","1151","2026-07-04T05:30:00.0000000Z","Scheduler"
"SERVICES\MemoryService.js","1240","2026-06-29T18:43:06.0000000Z","Intelligence"
"SERVICES\MilesSelfLearningCompanyAI.js","4337","2026-07-03T01:01:18.0000000Z","Intelligence"
"SERVICES\OrionProviderController.js","495","2026-07-04T06:18:28.0000000Z","BusinessDomain"
"SERVICES\PlannerService.js","4403","2026-07-02T01:09:20.0000000Z","Planner"
"SERVICES\ProviderControllerHealthService.js","1278","2026-07-04T06:18:50.0000000Z","Observability"
"SERVICES\RoutingLearningService.js","2126","2026-07-04T05:55:46.0000000Z","Intelligence"
"SERVICES\RuntimeHealthService.js","2273","2026-07-04T05:29:32.0000000Z","Runtime"
"SERVICES\RuntimeRecoveryService.js","3173","2026-07-05T03:23:32.0000000Z","Runtime"
"SERVICES\SchedulerService.js","1401","2026-06-29T23:19:44.0000000Z","Scheduler"
"SERVICES\SelfLearningService.js","5231","2026-07-04T05:55:46.0000000Z","Intelligence"
"SERVICES\WebsiteProviderController.js","504","2026-07-04T06:18:28.0000000Z","BusinessDomain"
"SERVICES\WorkerExecutionBridge.js","1632","2026-07-09T16:42:30.0000000Z","Worker"
"SERVICES\WorkerRegistry.js","467","2026-07-09T16:39:58.0000000Z","Worker"
