"RelativePath","Name","Version","Scripts","Dependencies","DevDependencies"
"package.json","miles-desktop-production","0.1.0-build006","start=node StartMiles.js; test=node TESTS/healthcheck.js; audit:outbound=node TESTS/outbound_audit.js","axios; better-sqlite3; dotenv; express; playwright",""
"CONNECTORS\WEBSITE_B12\package.json","website_b12","1.0.0","test=echo ""Error: no test specified"" && exit 1","playwright",""
"_REFERENCE\MILES_OS_v1\package.json","miles-os-v1","1.0.0","b12=node CONNECTORS/WEBSITE_B12/controller.js; operator=node CORE/miles.js","@google-cloud/local-auth; axios; better-sqlite3; chokidar; csv-parse; csv-parser; csv-stringify; dotenv; express; googleapis; node-cron; playwright; sqlite3",""
"_REFERENCE\MILES_OS_v1\CONNECTORS\WEBSITE_B12\package.json","website_b12","1.0.0","start=node controller.js; observe=node controller.js observe; audit=node controller.js audit","playwright",""
"_LEGACY_BUILDS\build006_patch\payload\package.json","miles-desktop-production","0.1.0-build006","start=node StartMiles.js; test=node TESTS/healthcheck.js; audit:outbound=node TESTS/outbound_audit.js","dotenv; express",""
"_LEGACY_BUILDS\EXEC_009_NAMECHEAP\EXEC_009_NAMECHEAP\package.json","exec_009_namecheap","1.0.0","build=tsc --noEmit; health=tsx examples/run_domain_health_check.ts","","typescript; tsx"
"_LEGACY_BUILDS\miles_build005_exec_layer\miles_build005_exec_layer\package.json","miles-desktop-production","0.1.0-build005","start=node StartMiles.js; test=node TESTS/healthcheck.js; healthcheck=node TESTS/healthcheck.js","",""
"_LEGACY_BUILDS\miles_build006_outbound_ops\build006_patch\payload\package.json","miles-desktop-production","0.1.0-build006","start=node StartMiles.js; test=node TESTS/healthcheck.js; audit:outbound=node TESTS/outbound_audit.js","dotenv; express",""
"_LEGACY_BUILDS\miles_desktop_v2_build003\miles_desktop_v2\package.json","miles-desktop-v2","0.3.0","start=electron .; test=node scripts/smoke-test.js; backup=node scripts/backup-runtime.js","electron",""
"_LEGACY_BUILDS\miles_desktop_v2_starter\miles_desktop_v2\package.json","miles-desktop-v2","0.2.0","start=electron .; dev=electron .; test=node scripts/smoke-test.js; backup=node scripts/backup-runtime.js; package=echo Packaging not configured yet. Add electron-builder when ready.","electron",""
"_LEGACY_BUILDS\MILES_OS_patch_007\MILES_OS_patch_007\ui\package.json","miles-desktop-ui","0.0.7","dev=vite --host 127.0.0.1 --port 5173; build=vite build; preview=vite preview","@vitejs/plugin-react; vite; react; react-dom; lucide-react",""
