"RelativePath","Exists","SizeBytes","ModifiedUtc"
"StartMilesProduction.js","True","5574","2026-07-06T19:35:54.0000000Z"
"StartProductionSystem.js","True","2372","2026-07-07T21:40:56.0000000Z"
"StartAutonomousCOO.js","True","3540","2026-07-06T23:10:00.0000000Z"
"SERVICES\StartProductionSystem.js","True","2398","2026-07-07T21:32:56.0000000Z"
"SERVICES\EnterpriseRuntimeManager.js","True","4587","2026-07-10T00:37:08.0000000Z"
"SERVICES\WorkerRegistry.js","True","467","2026-07-09T16:39:58.0000000Z"
"SERVICES\CapabilityRegistry.js","True","1466","2026-07-09T22:14:24.0000000Z"
"SERVICES\CapabilityRegistryService.js","True","17894","2026-07-04T04:27:58.0000000Z"
"SERVICES\RepositoryRegistryService.js","True","21035","2026-07-04T04:18:54.0000000Z"
"SERVICES\ProviderRegistryService.js","True","12419","2026-07-04T06:09:10.0000000Z"
"SERVICES\ProviderAuthorityRegistryService.js","True","9159","2026-07-04T06:58:22.0000000Z"
"SERVICES\ProviderControllerRegistryService.js","True","2295","2026-07-04T06:18:50.0000000Z"
"SERVICES\worker_runtime\WorkerRuntime.js","True","8183","2026-07-08T20:26:00.0000000Z"
"SERVICES\worker_runtime\WorkerRuntimeManager.js","True","6497","2026-07-06T01:15:02.0000000Z"
"SERVICES\worker_runtime\WorkerRegistry.js","True","7539","2026-07-06T03:02:40.0000000Z"
"SERVICES\Planning\PlannerRegistry.js","True","916","2026-07-01T17:10:34.0000000Z"
"SERVICES\digital_coo\DigitalCOORuntimeManager.js","True","16703","2026-07-06T01:31:30.0000000Z"
"SERVICES\digital_coo\MilesCommandCenter.js","True","15123","2026-07-07T16:14:38.0000000Z"
"CORE\Kernel\ServiceRegistry.js","True","5519","2026-07-10T00:44:08.0000000Z"
"CORE\DepartmentRegistry.js","True","1637","2026-07-09T01:58:28.0000000Z"
"CORE\CANONICAL\Registry.js","True","561","2026-07-08T22:47:00.0000000Z"
"PROVIDERS\ProviderRegistry.js","True","608","2026-07-09T00:11:56.0000000Z"
"PROVIDERS\registry\ProviderRegistry.js","True","2292","2026-06-30T23:10:52.0000000Z"
"BuildEnterpriseRegistry.js","True","2123","2026-07-11T03:16:12.0000000Z"
"RUN_ENTERPRISE_REGISTRY.ps1","True","177","2026-07-11T03:16:12.0000000Z"
"runtime\enterprise_registry\component_registry_summary.json","True","630","2026-07-10T23:19:30.0000000Z"
"runtime\enterprise_registry\component_registry_changes.json","True","7814489","2026-07-10T23:19:30.0000000Z"
"runtime\enterprise_registry\capability_registry_summary.json","True","289","2026-07-10T23:19:32.0000000Z"
"runtime\enterprise_registry\capability_routing_table.json","True","91836","2026-07-10T23:19:32.0000000Z"
