"Category","RelativePath","SizeKB","LastWriteTime"
"OTHER_ACTIVE_CANDIDATE","AutonomousCOOLoopService.js","2.49","7/1/2026 1:31:42 AM"
"OTHER_ACTIVE_CANDIDATE","executive_dashboard.js","3.04","6/29/2026 1:58:10 PM"
"OTHER_ACTIVE_CANDIDATE","miles_connector_health.js","0.61","6/28/2026 9:31:10 PM"
"OTHER_ACTIVE_CANDIDATE","miles_google_accounts_health.js","0.92","6/29/2026 12:48:18 AM"
"OTHER_ACTIVE_CANDIDATE","OpenMilesBrowser.js","0.95","6/30/2026 1:17:02 PM"
"OTHER_ACTIVE_CANDIDATE","RunMarketingCOO.js","0.55","7/8/2026 5:00:06 PM"
"OTHER_ACTIVE_CANDIDATE","StartAutonomousCOO.js","3.46","7/6/2026 7:10:00 PM"
"OTHER_ACTIVE_CANDIDATE","StartMiles.js","3.75","6/30/2026 9:20:20 PM"
"OTHER_ACTIVE_CANDIDATE","StartMilesProduction.js","5.44","7/6/2026 3:35:54 PM"
"OTHER_ACTIVE_CANDIDATE","StartProductionSystem.js","2.32","7/7/2026 5:40:56 PM"
"OTHER_ACTIVE_CANDIDATE","StartSupervisor.js","0.16","6/30/2026 11:56:26 AM"
"OTHER_ACTIVE_CANDIDATE","TestAutonomousDiscoveryEngine.js","0.62","6/30/2026 2:02:14 PM"
"OTHER_ACTIVE_CANDIDATE","TestAutonomousLoop.js","0.53","6/30/2026 2:06:20 PM"
"OTHER_ACTIVE_CANDIDATE","TestBrowserOS.js","1.24","6/30/2026 1:10:22 PM"
"OTHER_ACTIVE_CANDIDATE","TestBrowserWorker.js","0.63","6/30/2026 1:49:58 PM"
"OTHER_ACTIVE_CANDIDATE","TestEngineeringManager.js","0.39","6/30/2026 2:19:42 PM"
"OTHER_ACTIVE_CANDIDATE","TestExecutionEngine.js","1","6/30/2026 1:58:26 PM"
"OTHER_ACTIVE_CANDIDATE","TestPersistentBrowserOS.js","1","6/30/2026 1:13:58 PM"
"OTHER_ACTIVE_CANDIDATE","TestSystemIntelligence.js","0.81","6/30/2026 12:51:58 PM"
"OTHER_ACTIVE_CANDIDATE","test_coo_orchestrator.js","0.63","7/1/2026 1:31:42 AM"
"OTHER_ACTIVE_CANDIDATE","test_executive_brief.js","0.43","6/30/2026 9:09:54 PM"
"OTHER_ACTIVE_CANDIDATE","test_executive_intelligence.js","0.34","6/30/2026 9:05:46 PM"
"OTHER_ACTIVE_CANDIDATE","test_marketing_provider.js","0.23","6/30/2026 7:22:48 PM"
"OTHER_ACTIVE_CANDIDATE","test_orion_provider.js","0.22","6/30/2026 9:02:16 PM"
"OTHER_ACTIVE_CANDIDATE","test_work_queue.js","0.78","7/1/2026 1:48:16 AM"
"OTHER_ACTIVE_CANDIDATE","RunEnterpriseInventory.js","0.08","7/8/2026 6:41:38 PM"
"OTHER_ACTIVE_CANDIDATE","BuildDuplicateReport.js","0.95","7/8/2026 6:44:04 PM"
"OTHER_ACTIVE_CANDIDATE","RunCanonicalCoreTest.js","0.69","7/8/2026 6:47:00 PM"
"OTHER_ACTIVE_CANDIDATE","RunMarketingEnterprise.js","0.52","7/8/2026 6:49:48 PM"
"OTHER_ACTIVE_CANDIDATE","RunEnterpriseStoreTest.js","0.68","7/8/2026 7:25:28 PM"
"OTHER_ACTIVE_CANDIDATE","RunSegmentImport.js","0.42","7/8/2026 7:28:20 PM"
"OTHER_ACTIVE_CANDIDATE","RunCampaignImport.js","0.56","7/8/2026 7:30:02 PM"
"OTHER_ACTIVE_CANDIDATE","RunMarketingAssignment.js","0.43","7/8/2026 7:31:48 PM"
"OTHER_ACTIVE_CANDIDATE","RunMarketingIntelligence.js","0.45","7/8/2026 7:34:14 PM"
"OTHER_ACTIVE_CANDIDATE","RunDomainInboxImport.js","0.44","7/8/2026 7:36:14 PM"
"OTHER_ACTIVE_CANDIDATE","RunMarketingCapacityPlan.js","0.43","7/8/2026 7:38:32 PM"
"OTHER_ACTIVE_CANDIDATE","PATCH_fix_decision_engine.js","1.85","7/8/2026 8:49:36 PM"
"OTHER_ACTIVE_CANDIDATE","PATCH_fix_decision_engine_safe.js","1.67","7/8/2026 8:51:46 PM"
"OTHER_ACTIVE_CANDIDATE","BuildEnterpriseRegistry.js","2.07","7/10/2026 11:16:12 PM"
"OTHER_ACTIVE_CANDIDATE","StartRuntimeRegistryService.js","1.2","7/10/2026 11:37:02 PM"
"OTHER_ACTIVE_CANDIDATE","RunInstantlyCOO.js","2.23","7/11/2026 2:41:02 PM"
"OTHER_ACTIVE_CANDIDATE","BuildMilesDeveloperIndex.js","18.9","7/11/2026 3:31:38 PM"
"ACTIVE_CORE","CORE\authority.js","0.72","6/29/2026 2:43:06 PM"
"ACTIVE_CORE","CORE\AutonomousDiscoveryEngine.js","11.17","6/30/2026 2:01:30 PM"
"ACTIVE_CORE","CORE\AutonomousLoop.js","4.5","6/30/2026 2:05:38 PM"
"ACTIVE_CORE","CORE\CommandQueue.js","3.9","7/3/2026 5:39:26 PM"
"ACTIVE_CORE","CORE\ConnectorManager.js","1.07","6/29/2026 12:42:48 AM"
"ACTIVE_CORE","CORE\Database.js","1.48","6/29/2026 2:43:06 PM"
"ACTIVE_CORE","CORE\EventBus.js","0.5","7/2/2026 12:49:40 PM"
"ACTIVE_CORE","CORE\ExecutionEngine.js","4.25","6/30/2026 1:57:50 PM"
"ACTIVE_CORE","CORE\ExecutionOrchestrator.js","4.2","6/30/2026 12:42:06 PM"
"ACTIVE_CORE","CORE\HealthDashboard.js","0.88","6/29/2026 12:42:48 AM"
"ACTIVE_CORE","CORE\logger.js","0.94","6/29/2026 5:52:38 PM"
"ACTIVE_CORE","CORE\miles.js","1.86","6/29/2026 2:43:06 PM"
"ACTIVE_CORE","CORE\RuntimeController.js","5.88","6/30/2026 12:35:36 PM"
"ACTIVE_CORE","CORE\Supervisor.js","5.13","6/30/2026 12:23:50 PM"
"ACTIVE_CORE","CORE\SystemIntelligence.js","6.53","6/30/2026 12:51:04 PM"
"ACTIVE_CORE","CORE\TaskQueue.js","7.33","7/4/2026 10:38:58 PM"
"ACTIVE_CORE","CORE\TestRuntimeController.js","0.71","6/30/2026 12:39:30 PM"
"ACTIVE_CORE","CORE\DepartmentRegistry.js","1.6","7/8/2026 9:58:28 PM"
"ACTIVE_CORE","CORE\BROWSER\BrowserManager.js","4.16","6/30/2026 1:16:18 PM"
"ACTIVE_CORE","CORE\BROWSER\BrowserWorker.js","2.9","6/30/2026 1:49:24 PM"
"ACTIVE_CORE","CORE\BROWSER\SessionManager.js","0.95","6/30/2026 1:08:50 PM"
"ACTIVE_CORE","CORE\CONFIG\BootstrapValidator.js","0.35","6/30/2026 11:24:44 AM"
"ACTIVE_CORE","CORE\CONFIG\ConfigurationManager.js","1.03","6/30/2026 11:35:38 AM"
"ACTIVE_CORE","CORE\Connectors\Ingestion\crmIngestor.js","0.38","7/2/2026 9:36:32 PM"
"ACTIVE_CORE","CORE\Connectors\Ingestion\gmailIngestor.js","0.37","7/2/2026 9:35:00 PM"
"ACTIVE_CORE","CORE\Connectors\Ingestion\instantlyIngestor.js","0.41","7/2/2026 9:36:04 PM"
"ACTIVE_CORE","CORE\ENGINEERING\EngineeringManager.js","5.36","6/30/2026 2:18:58 PM"
"ACTIVE_CORE","CORE\GATEWAY\CommandGateway.js","5.46","6/30/2026 12:33:38 PM"
"ACTIVE_CORE","CORE\Kernel\EventBus.js","0.89","7/2/2026 12:51:10 PM"
"ACTIVE_CORE","CORE\Kernel\HealthMonitor.js","0.89","6/29/2026 2:43:06 PM"
"ACTIVE_CORE","CORE\Kernel\MilesKernel.js","3.21","6/29/2026 7:24:04 PM"
"ACTIVE_CORE","CORE\Kernel\ServiceRegistry.js","5.39","7/9/2026 8:44:08 PM"
"ACTIVE_CORE","CORE\Kernel\StartMiles.js","0.18","6/29/2026 2:43:06 PM"
"ACTIVE_CORE","CORE\RECOVERY\RecoveryEngine.js","1.51","6/30/2026 11:54:14 AM"
"RUNTIME_GENERATED","CORE\Runtime\MilesRuntime.js","8.21","7/1/2026 3:02:52 PM"
"ACTIVE_CORE","CORE\STATE\ExecutiveState.js","2.69","6/30/2026 12:24:26 PM"
"ACTIVE_CORE","CORE\CANONICAL\Logger.js","0.76","7/8/2026 6:47:00 PM"
"ACTIVE_CORE","CORE\CANONICAL\EventBus.js","0.54","7/8/2026 6:47:00 PM"
"ACTIVE_CORE","CORE\CANONICAL\Registry.js","0.55","7/8/2026 6:47:00 PM"
"ACTIVE_CORE","CORE\CANONICAL\TaskQueue.js","1.81","7/8/2026 6:47:00 PM"
"ACTIVE_CORE","CORE\CANONICAL\Runtime.js","1.24","7/8/2026 6:47:00 PM"
"ACTIVE_CORE","CORE\CANONICAL\EnterpriseStore.js","21.9","7/8/2026 7:57:30 PM"
"ACTIVE_CORE","SERVICES\ActionAuditService.js","1.56","7/4/2026 2:09:10 AM"
"ACTIVE_CORE","SERVICES\ActionDispatcherService.js","3.99","7/4/2026 2:09:10 AM"
"ACTIVE_CORE","SERVICES\ActionEngineService.js","10.62","7/4/2026 2:09:10 AM"
"ACTIVE_CORE","SERVICES\ActionHistoryService.js","1.95","7/4/2026 2:09:10 AM"
"ACTIVE_CORE","SERVICES\ActionRetryService.js","0.94","7/4/2026 2:09:10 AM"
"ACTIVE_CORE","SERVICES\ActionVerificationService.js","2.25","7/4/2026 2:09:10 AM"
"ACTIVE_CORE","SERVICES\ATLASRuntimeInspector.js","7.19","7/4/2026 11:32:30 PM"
"ACTIVE_CORE","SERVICES\AutonomousCompanyOperatingSystem.js","5.16","7/2/2026 8:33:16 PM"
"ACTIVE_CORE","SERVICES\AutonomousCOOLoopService.backup.js","10.86","7/3/2026 4:54:18 PM"
"ACTIVE_CORE","SERVICES\AutonomousCOOLoopService.js","37.97","7/8/2026 1:51:24 PM"
"ACTIVE_CORE","SERVICES\AutonomousRevenueClosureLoop.js","2.27","7/3/2026 4:21:44 PM"
"ACTIVE_CORE","SERVICES\BaseProviderController.js","3.82","7/4/2026 2:18:28 AM"
"ACTIVE_CORE","SERVICES\BusinessExecutionEngineService.js","4.12","7/4/2026 2:49:28 AM"
"ACTIVE_CORE","SERVICES\BusinessOperationsBridgeService.js","13.69","7/10/2026 5:28:08 PM"
"ACTIVE_CORE","SERVICES\BusinessStateAggregator.js","2.11","7/3/2026 4:27:08 PM"
"ACTIVE_CORE","SERVICES\CapabilityRegistryService.js","17.47","7/4/2026 12:27:58 AM"
"ACTIVE_CORE","SERVICES\CapabilityService.js","2.08","7/1/2026 1:11:54 PM"
"ACTIVE_CORE","SERVICES\CodeRepairService.js","5.53","7/2/2026 3:02:26 PM"
"ACTIVE_CORE","SERVICES\CommandIntentPlannerService.js","10.98","7/9/2026 11:11:52 PM"
"ACTIVE_CORE","SERVICES\CompanyStateService.js","14.51","7/4/2026 1:04:08 AM"
"ACTIVE_CORE","SERVICES\ConfidenceScoringService.js","1.67","7/4/2026 1:55:46 AM"
"ACTIVE_CORE","SERVICES\ConnectorManager.js","0","6/29/2026 2:43:06 PM"
"ACTIVE_CORE","SERVICES\ConnectorRuntimeManager.js","6.23","7/5/2026 9:21:48 PM"
"ACTIVE_CORE","SERVICES\ContinuousCOOLoopService.js","8.57","7/4/2026 1:30:00 AM"
"ACTIVE_CORE","SERVICES\ControlledWriteAuditService.js","1.14","7/4/2026 2:44:14 AM"
"ACTIVE_CORE","SERVICES\ControlledWritePolicyService.js","4.59","7/4/2026 2:44:14 AM"
"ACTIVE_CORE","SERVICES\ControlledWriteService.js","2.5","7/4/2026 2:44:14 AM"
"ACTIVE_CORE","SERVICES\COOExecutiveLoopService.js","4.63","7/6/2026 2:36:12 PM"
"ACTIVE_CORE","SERVICES\COOOrchestratorService.js","5.56","7/6/2026 3:57:14 PM"
"ACTIVE_CORE","SERVICES\COO_V10_ClosureSystem.js","4.03","7/2/2026 7:29:36 PM"
"ACTIVE_CORE","SERVICES\COO_V11_RealWorldAgent.js","4.66","7/2/2026 7:31:50 PM"
"ACTIVE_CORE","SERVICES\COO_V12_AutonomousCompany.js","4.62","7/2/2026 7:34:28 PM"
"ACTIVE_CORE","SERVICES\COO_V9_ExecutionLayer.js","3.81","7/2/2026 7:27:56 PM"
"ACTIVE_CORE","SERVICES\DashboardDataService.js","18.09","7/9/2026 3:25:18 PM"
"ACTIVE_CORE","SERVICES\DashboardServerService.js","2.13","7/4/2026 1:48:24 AM"
"ACTIVE_CORE","SERVICES\DashboardService.js","2.41","6/29/2026 5:57:58 PM"
"ACTIVE_CORE","SERVICES\DealClosureEngine.js","4.32","7/2/2026 8:25:16 PM"
"ACTIVE_CORE","SERVICES\DecisionEngine.js","10.34","7/2/2026 1:19:50 PM"
"ACTIVE_CORE","SERVICES\DecisionLearningService.js","1.86","7/4/2026 1:55:46 AM"
"ACTIVE_CORE","SERVICES\DesktopServer.js","0.74","6/30/2026 3:57:18 PM"
"ACTIVE_CORE","SERVICES\EngineeringCOOService.js","11.34","7/2/2026 3:08:20 PM"
"ACTIVE_CORE","SERVICES\EngineeringImprovementService.js","14.88","7/6/2026 11:44:56 PM"
"ACTIVE_CORE","SERVICES\EngineeringPlannerService.js","7.5","7/2/2026 2:30:32 PM"
"ACTIVE_CORE","SERVICES\EscalationManagerService.js","0.81","7/4/2026 2:49:04 AM"
"ACTIVE_CORE","SERVICES\ExecutionAuditService.js","1.24","7/4/2026 2:49:04 AM"
"ACTIVE_CORE","SERVICES\ExecutionDispatcherService.js","2.73","7/4/2026 2:49:28 AM"
"ACTIVE_CORE","SERVICES\ExecutionMonitorService.js","0.87","7/4/2026 2:49:04 AM"
"ACTIVE_CORE","SERVICES\ExecutionPlannerService.js","4.35","7/4/2026 2:49:04 AM"
"ACTIVE_CORE","SERVICES\ExecutionPlanService.js","1.93","7/1/2026 1:38:34 PM"
"ACTIVE_CORE","SERVICES\ExecutionRouterService.js","2","7/2/2026 7:54:12 PM"
