"relativePath","extension","sizeBytes","lastModified","status","moduleTypes","classes","functions","exports","imports","localDependencyCount","capabilities","referenceCount","skipped","skipReason"
"CORE\authority.js",".js","736","2026-06-29T18:43:06.000Z","ACTIVE_CANDIDATE","APPROVAL | INSTANTLY | TEST","","isProtectedOutboundDomain | requiresApproval","module.exports","","0","","3","false",""
"CORE\AutonomousDiscoveryEngine.js",".js","11434","2026-06-30T18:01:30.000Z","ACTIVE_CANDIDATE","QUEUE | ENGINE | SELF_HEALING | INSTANTLY | TEST","AutonomousDiscoveryEngine","ensureDirs | now | readJsonSafe | writeJson","module.exports","fs | path | ./TaskQueue | ./SystemIntelligence | ./RuntimeController","3","OUTBOUND_HEALTH_REVIEW | INSTANTLY | QUEUED","2","false",""
"CORE\AutonomousLoop.js",".js","4609","2026-06-30T18:05:38.000Z","ACTIVE_CANDIDATE","QUEUE | SERVICE | ENGINE","AutonomousLoop","ensureDirs | now | writeJson | sleep | runOnce | start","module.exports","fs | path | ./AutonomousDiscoveryEngine | ./ExecutionEngine | ./TaskQueue","3","","1","false",""
"CORE\CommandQueue.js",".js","3989","2026-07-03T21:39:26.000Z","ACTIVE_CANDIDATE","WORKER | QUEUE | MEMORY","CommandQueue","now | ensure | read | write | id","module.exports","fs | path","0","CREATED","4","false",""
"CORE\ConnectorManager.js",".js","1096","2026-06-29T04:42:48.000Z","ACTIVE_CANDIDATE","CONNECTOR | MANAGER | EVENT_BUS","ConnectorManager","healthCheckAll","module.exports","./Logger | ./EventBus","2","","8","false",""
"CORE\Database.js",".js","1520","2026-06-29T18:43:06.000Z","ACTIVE_CANDIDATE","QUEUE | MEMORY","MilesDatabase","","module.exports","better-sqlite3 | path | fs","0","","1","false",""
"CORE\EventBus.js",".js","508","2026-07-02T16:49:40.000Z","ACTIVE_CANDIDATE","EVENT_BUS","MilesEventBus","","module.exports","events | ./Logger","1","","7","false",""
"CORE\ExecutionEngine.js",".js","4349","2026-06-30T17:57:50.000Z","ACTIVE_CANDIDATE","CONNECTOR | WORKER | QUEUE | MANAGER | SERVICE | ENGINE | TEST","ExecutionEngine","executeTask | runNext | runCycle","module.exports","./TaskQueue | ./ConnectorManager | ./BROWSER/BrowserWorker | ../SERVICES/WorkforceExecutionService","4","QUEUED","2","false",""
"CORE\ExecutionOrchestrator.js",".js","4301","2026-06-30T16:42:06.000Z","ACTIVE_CANDIDATE","QUEUE | SERVICE | ORCHESTRATOR","ExecutionOrchestrator","createAndQueueWorkflow | executeNextWorkforceStep | runCycle","module.exports","./TaskQueue | ../SERVICES/WorkflowService | ../SERVICES/WorkforceExecutionService","3","WORKFLOW_QUEUED | QUEUED | WORKFORCE_STEP_EXECUTED","0","false",""
"CORE\HealthDashboard.js",".js","905","2026-06-29T04:42:48.000Z","ACTIVE_CANDIDATE","CONNECTOR | MANAGER | DASHBOARD","","writeHealthDashboard","module.exports","fs | path | ./ConnectorManager","1","","1","false",""
"CORE\logger.js",".js","966","2026-06-29T21:52:38.000Z","ACTIVE_CANDIDATE","","","ensureLog | log | info | warn | error","module.exports","fs | path","0","","7","false",""
"CORE\miles.js",".js","1908","2026-06-29T18:43:06.000Z","ACTIVE_CANDIDATE","QUEUE | REGISTRY | APPROVAL | TEST","","parseCsvSimple | csvEscape | main","","fs | path | ./logger | ./authority","2","TASK_QUEUE","0","false",""
"CORE\RuntimeController.js",".js","6023","2026-06-30T16:35:36.000Z","ACTIVE_CANDIDATE","PLANNER | QUEUE | SERVICE","RuntimeController","status | plan | createWorkflow | queueObjective | executeWorkforceStep | handle","module.exports","./GATEWAY/CommandGateway | ./TaskQueue | ../SERVICES/WorkflowService | ../SERVICES/PlannerService | ../SERVICES/WorkforceExecutionService","5","RUNTIME_PLAN | OBJECTIVE_QUEUED | QUEUED | WORKFORCE_STEP_EXECUTED | CREATE_WORKFLOW | QUEUE_OBJECTIVE | EXECUTE_WORKFORCE_STEP","2","false",""
"CORE\Supervisor.js",".js","5257","2026-06-30T16:23:50.000Z","ACTIVE_CANDIDATE","CONNECTOR | WORKER | QUEUE | REGISTRY | SUPERVISOR | MANAGER | SERVICE | ENGINE | SELF_HEALING | ORION | INSTANTLY","Supervisor","registerConnectors | heartbeat | start","module.exports","./ConnectorManager | ./TaskQueue | ../SERVICES/WorkforceService | ../SERVICES/CapabilityService | ../SERVICES/WorkflowService | ./STATE/ExecutiveState | ./RECOVERY/RecoveryEngine","7","INSTANTLY | ORION","3","false",""
"CORE\SystemIntelligence.js",".js","6683","2026-06-30T16:51:04.000Z","ACTIVE_CANDIDATE","CONNECTOR | PLANNER | WORKER | QUEUE | SUPERVISOR | SERVICE | ENGINE | ORCHESTRATOR | SELF_HEALING | ORION | INSTANTLY | TEST","SystemIntelligence","exists | walk | readJsonSafe | writeJson","module.exports","fs | path","0","PLANNER_SERVICE | INSTANTLY_CONNECTOR | ORION_CONNECTOR | READY","2","false",""
"CORE\TaskQueue.js",".js","7509","2026-07-05T02:38:58.000Z","ACTIVE_CANDIDATE","QUEUE | EVENT_BUS","TaskQueue","now | sleepSync","module.exports","fs | path | ./Logger | ./EventBus","2","QUEUED | TASK_QUEUED | TASK_UPDATED","18","false",""
"CORE\TestRuntimeController.js",".js","725","2026-06-30T16:39:30.000Z","TEST","INSTANTLY | TEST","","main","","./RuntimeController","1","","0","false",""
"CORE\BROWSER\BrowserManager.js",".js","4256","2026-06-30T17:16:18.000Z","ACTIVE_CANDIDATE","MANAGER | INSTANTLY | WEBSITE","BrowserManager","launch | openSystem | currentUrl | screenshot | openKnownSystem | status | close","module.exports","path | fs | playwright","0","","4","false",""
"CORE\BROWSER\BrowserWorker.js",".js","2974","2026-06-30T17:49:24.000Z","ACTIVE_CANDIDATE","WORKER | MANAGER | INSTANTLY | TEST","BrowserWorker","healthCheck | inspect | close","module.exports","./BrowserManager","1","","2","false",""
"CORE\BROWSER\SessionManager.js",".js","975","2026-06-30T17:08:50.000Z","ACTIVE_CANDIDATE","MANAGER","SessionManager","","module.exports","fs | path","0","","1","false",""
"CORE\CONFIG\BootstrapValidator.js",".js","361","2026-06-30T15:24:44.000Z","ACTIVE_CANDIDATE","MANAGER","","bootstrapValidate","module.exports","./ConfigurationManager","1","","0","false",""
"CORE\CONFIG\ConfigurationManager.js",".js","1057","2026-06-30T15:35:38.000Z","ACTIVE_CANDIDATE","MANAGER | INSTANTLY","","getEnv | requireEnv | getConfigHealth","module.exports","fs | path | dotenv","0","ORION_DB_PATH | INSTANTLY_API_KEY","2","false",""
"CORE\Connectors\Ingestion\crmIngestor.js",".js","393","2026-07-03T01:36:32.000Z","ACTIVE_CANDIDATE","CONNECTOR","CRMIngestor","","module.exports","../../event-bus/emitter","0","DEAL_UPDATED","0","false",""
"CORE\Connectors\Ingestion\gmailIngestor.js",".js","382","2026-07-03T01:35:00.000Z","ACTIVE_CANDIDATE","CONNECTOR | GOOGLE","GmailIngestor","","module.exports","../../event-bus/emitter","0","","0","false",""
"CORE\Connectors\Ingestion\instantlyIngestor.js",".js","419","2026-07-03T01:36:04.000Z","ACTIVE_CANDIDATE","CONNECTOR | INSTANTLY","InstantlyIngestor","","module.exports","../../event-bus/emitter","0","LEAD_CREATED","0","false",""
"CORE\ENGINEERING\EngineeringManager.js",".js","5492","2026-06-30T18:18:58.000Z","ACTIVE_CANDIDATE","QUEUE | MANAGER | SERVICE | ENGINE | MEMORY | POLICY | SELF_HEALING | TEST","EngineeringManager","ensure | read | write","module.exports","fs | path","0","PLANNED","1","false",""
"CORE\GATEWAY\CommandGateway.js",".js","5594","2026-06-30T16:33:38.000Z","ACTIVE_CANDIDATE","PLANNER | QUEUE | SERVICE","CommandGateway","execute","module.exports","../../SERVICES/PlannerService | ../../SERVICES/WorkflowService | ../TaskQueue | ../STATE/ExecutiveState","4","PLAN_OBJECTIVE | CREATE_WORKFLOW | QUEUE_TASK | EXECUTE_OBJECTIVE | PLAN_RESULT | WORKFLOW_CREATED | TASK_CREATED","1","false",""
"CORE\Kernel\EventBus.js",".js","909","2026-07-02T16:51:10.000Z","ACTIVE_CANDIDATE","EVENT_BUS","MilesEventBus","","module.exports","events | path | ./Logger","0","","2","false",""
"CORE\Kernel\HealthMonitor.js",".js","913","2026-06-29T18:43:06.000Z","ACTIVE_CANDIDATE","REGISTRY | SERVICE | EVENT_BUS","HealthMonitor","","module.exports","./ServiceRegistry | ./EventBus","2","","1","false",""
"CORE\Kernel\MilesKernel.js",".js","3287","2026-06-29T23:24:04.000Z","ACTIVE_CANDIDATE","CONNECTOR | REGISTRY | MANAGER | SERVICE | EVENT_BUS | MEMORY | DASHBOARD | ORION | WEBSITE","MilesKernel","","module.exports","fs | path | ../ConnectorManager | ../../SERVICES/ExecutionService | ./ServiceRegistry | ./HealthMonitor | ./EventBus | ../../SERVICES/MemoryService | ../../SERVICES/SchedulerService | ../../SERVICES/DashboardService","8","","1","false",""
"CORE\Kernel\ServiceRegistry.js",".js","5519","2026-07-10T00:44:08.000Z","ACTIVE_CANDIDATE","REGISTRY | SERVICE | TEST","ServiceRegistry","","module.exports","","0","HEALTHY","3","false",""
"CORE\Kernel\StartMiles.js",".js","182","2026-06-29T18:43:06.000Z","ACTIVE_CANDIDATE","","","","","./MilesKernel","1","","0","false",""
"CORE\RECOVERY\RecoveryEngine.js",".js","1542","2026-06-30T15:54:14.000Z","ACTIVE_CANDIDATE","ENGINE | SELF_HEALING","","classifyFailure | classifyFailedTasks","module.exports","fs | path","0","","1","false",""
"CORE\Runtime\MilesRuntime.js",".js","8404","2026-07-01T19:02:52.000Z","ACTIVE_CANDIDATE","QUEUE | SUPERVISOR | SERVICE | ENGINE | EVENT_BUS | MEMORY | APPROVAL","MilesRuntime","start | runSingleCycle | runCycle | processWorkItem","module.exports","../../SERVICES/WorkflowService | ../../SERVICES/WorkforceExecutionService | ../../SERVICES/Events/EventBus | ../../SERVICES/Learning/LearningEngine | ../../SERVICES/Memory/OperationalMemoryService | ../../SERVICES/ProviderRouterService | ../../SERVICES/Supervisor/ExecutiveSupervisor","7","ALREADY_RUNNING","1","false",""
"CORE\STATE\ExecutiveState.js",".js","2753","2026-06-30T16:24:26.000Z","ACTIVE_CANDIDATE","CONNECTOR | QUEUE | MANAGER | SERVICE | SELF_HEALING","","ensureDir | buildExecutiveState | readExecutiveState","module.exports","fs | path | ../CONFIG/ConfigurationManager","1","HEALTHY","2","false",""
"CORE\CANONICAL\Logger.js",".js","780","2026-07-08T22:47:00.000Z","ACTIVE_CANDIDATE","","","ensure | write","module.exports","fs | path","0","","4","false",""
"CORE\CANONICAL\EventBus.js",".js","552","2026-07-08T22:47:00.000Z","ACTIVE_CANDIDATE","EVENT_BUS","CanonicalEventBus","","module.exports","events | ./Logger","1","","5","false",""
"CORE\CANONICAL\Registry.js",".js","561","2026-07-08T22:47:00.000Z","ACTIVE_CANDIDATE","REGISTRY","CanonicalRegistry","","module.exports","","0","","1","false",""
"CORE\CANONICAL\TaskQueue.js",".js","1854","2026-07-08T22:47:00.000Z","ACTIVE_CANDIDATE","QUEUE | APPROVAL","CanonicalTaskQueue","ensure | read | write","module.exports","fs | path | ./Logger","1","READY","3","false",""
"CORE\CANONICAL\Runtime.js",".js","1270","2026-07-08T22:47:00.000Z","ACTIVE_CANDIDATE","CONNECTOR | QUEUE | REGISTRY | EVENT_BUS","CanonicalRuntime","","module.exports","./Logger | ./EventBus | ./Registry | ./TaskQueue","4","","2","false",""
"CORE\CANONICAL\EnterpriseStore.js",".js","22428","2026-07-08T23:57:30.000Z","ACTIVE_CANDIDATE","QUEUE | APPROVAL","EnterpriseStore","now | ensureDir | parseJson | row","module.exports","fs | path | better-sqlite3","0","READY | WEBSITE_ONLY | APPROVAL_CREATED | MARKETING_CAPACITY_PLAN_CREATED | PLANNED | UPLOAD | MARKETING_UPLOAD_QUEUE_ITEM_CREATED | UPLOADRUN | MARKETING_UPLOAD_QUEUE_RUN_CREATED","18","false",""
"CORE\DepartmentRegistry.js",".js","1637","2026-07-09T01:58:28.000Z","ACTIVE_CANDIDATE","REGISTRY | DASHBOARD","DepartmentRegistry","","module.exports","","0","","3","false",""
"SERVICES\ActionAuditService.js",".js","1596","2026-07-04T06:09:10.000Z","ACTIVE_CANDIDATE","SERVICE | ENGINE | TEST","ActionAuditService","ensureDir | readJson | writeJson","module.exports","fs | path","0","","1","false",""
"SERVICES\ActionDispatcherService.js",".js","4081","2026-07-04T06:09:10.000Z","ACTIVE_CANDIDATE","CONNECTOR | QUEUE | SERVICE | ENGINE | ORION","ActionDispatcherService","ensureDir | writeJson","module.exports","fs | path","0","CREATE_REPORT | WRITE_JSON | EXECUTED","1","false",""
"SERVICES\ActionEngineService.js",".js","10876","2026-07-04T06:09:10.000Z","ACTIVE_CANDIDATE","CONNECTOR | QUEUE | REGISTRY | SERVICE | ENGINE | MEMORY | APPROVAL | TEST","ActionEngineService","ensureDir | readJson | writeJson","module.exports","fs | path | ./ProviderRegistryService | ./ActionDispatcherService | ./ActionVerificationService | ./ActionRetryService | ./ActionHistoryService | ./ActionAuditService | ./WorkQueueService","7","CREATE_CAMPAIGN | UPLOAD_LEADS | PAUSE_CAMPAIGN | UPDATE_DNS_OR_VERIFY_AUTH | QUEUE_PAGE_EDIT_OR_VERIFY | CREATE_REPORT | CREATE_INTERNAL_RECORD","0","false",""
